"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|IT","27.08.2017 20:00 - 27.08.2017 21:00 (CET)","415","n/e","256","8227","3869","134","n/e","n/e","651","1947","","5048","2010","n/e","n/e","7431","n/e","0","46","n/e","511"
"CTA|IT","27.08.2017 21:00 - 27.08.2017 22:00 (CET)","420","n/e","252","8327","3847","134","n/e","n/e","654","1761","","5004","1829","n/e","n/e","7378","n/e","0","48","n/e","451"
"CTA|IT","27.08.2017 22:00 - 27.08.2017 23:00 (CET)","418","n/e","240","8355","3774","136","n/e","n/e","654","676","","4239","1844","n/e","n/e","7267","n/e","0","47","n/e","484"
"CTA|IT","27.08.2017 23:00 - 28.08.2017 00:00 (CET)","419","n/e","237","8407","3624","144","n/e","n/e","655","182","","3266","1270","n/e","n/e","7071","n/e","0","47","n/e","481"
"CTA|IT","28.08.2017 00:00 - 28.08.2017 01:00 (CET)","409","n/e","247","7998","3574","136","n/e","n/e","653","0","549","2621","838","n/e","n/e","6827","n/e","0","48","n/e","489"
"CTA|IT","28.08.2017 01:00 - 28.08.2017 02:00 (CET)","410","n/e","247","7839","3599","135","n/e","n/e","653","0","1867","2335","608","n/e","n/e","6956","n/e","0","47","n/e","492"
"CTA|IT","28.08.2017 02:00 - 28.08.2017 03:00 (CET)","411","n/e","248","7565","3497","135","n/e","n/e","653","0","1966","2180","393","n/e","n/e","6593","n/e","0","46","n/e","522"
"CTA|IT","28.08.2017 03:00 - 28.08.2017 04:00 (CET)","404","n/e","247","7267","3358","142","n/e","n/e","654","0","1939","2130","387","n/e","n/e","6525","n/e","0","47","n/e","525"
"CTA|IT","28.08.2017 04:00 - 28.08.2017 05:00 (CET)","400","n/e","247","7337","3396","182","n/e","n/e","654","0","1849","2162","401","n/e","n/e","6673","n/e","0","44","n/e","555"
"CTA|IT","28.08.2017 05:00 - 28.08.2017 06:00 (CET)","411","n/e","247","7930","3674","195","n/e","n/e","655","0","1843","2230","391","n/e","n/e","7295","n/e","0","43","n/e","614"
